alter,wohnfläche (in m2) pro person,time_period,source_sheet,sheet_type
89,63.1,2019,GWS-STATPOP2019,wohnflaeche
90,64.5,2019,GWS-STATPOP2019,wohnflaeche
91,64.8,2019,GWS-STATPOP2019,wohnflaeche
92,64.3,2019,GWS-STATPOP2019,wohnflaeche
93,66.3,2019,GWS-STATPOP2019,wohnflaeche
94,65.8,2019,GWS-STATPOP2019,wohnflaeche
95,64.3,2019,GWS-STATPOP2019,wohnflaeche
96,64.2,2019,GWS-STATPOP2019,wohnflaeche
97,65.9,2019,GWS-STATPOP2019,wohnflaeche
98,64.3,2019,GWS-STATPOP2019,wohnflaeche
99,63.3,2019,GWS-STATPOP2019,wohnflaeche
