time_period,geo,obs_value,obs_confidence,obs_status,code,label_en,label_fr,label_de,label_it
2021,CH065,39.7,3.1,A,CH065,Nidwalden,Nidwald,Nidwalden,Nidvaldo
2021,CH051,48.4,3.6,A,CH051,Glarus,Glaris,Glarus,Glarona
2021,CH066,31.8,1.2,A,CH066,Zug,Zoug,Zug,Zugo
2021,CH022,41.4,1.2,A,CH022,Freiburg,Fribourg,Freiburg,Friburgo
2021,CH023,47.3,1.3,A,CH023,Solothurn,Soleure,Solothurn,Soletta
2021,CH031,16.0,1.1,A,CH031,Basel-Stadt,Bâle-Ville,Basel-Stadt,Basilea Città
2021,CH032,44.4,1.3,A,CH032,Basel-Landschaft,Bâle-Campagne,Basel-Landschaft,Basilea Campagna
2021,CH052,41.6,2.3,A,CH052,Schaffhausen,Schaffhouse,Schaffhausen,Sciaffusa
2021,CH053,47.2,2.9,A,CH053,Appenzell Ausserrhoden,Appenzell Rhodes-Extérieures,Appenzell Ausserrhoden,Appenzello Esterno
2021,CH054,56.0,6.0,A,CH054,Appenzell Innerrhoden,Appenzell Rhodes-Intérieures,Appenzell Innerrhoden,Appenzello Interno
2021,CH055,39.9,0.9,A,CH055,St. Gallen,Saint-Gall,St. Gallen,San Gallo
2021,CH056,44.3,1.5,A,CH056,Graubünden,Grisons,Graubünden,Grigioni
2021,CH033,46.3,0.6,A,CH033,Aargau,Argovie,Aargau,Argovia
2021,CH057,45.1,0.9,A,CH057,Thurgau,Thurgovie,Thurgau,Turgovia
2021,CH070,38.8,0.8,A,CH070,Ticino,Tessin,Tessin,Ticino
2021,CH011,29.9,0.5,A,CH011,Vaud,Vaud,Waadt,Vaud
2021,CH012,55.2,1.2,A,CH012,Valais,Valais,Wallis,Vallese
2021,CH024,31.4,1.0,A,CH024,Neuchâtel,Neuchâtel,Neuenburg,Neuchâtel
2021,CH013,18.7,0.6,A,CH013,Genève,Genève,Genf,Ginevra
2021,CH025,49.6,2.5,A,CH025,Jura,Jura,Jura,Giura
2021,CH,36.3,0.2,A,CH,Switzerland,Suisse,Schweiz,Svizzera
2022,CH040,26.8,0.4,A,CH040,Zürich,Zurich,Zürich,Zurigo
2022,CH021,38.1,0.6,A,CH021,Bern,Berne,Bern,Berna
2022,CH061,33.4,0.6,A,CH061,Luzern,Lucerne,Luzern,Lucerna
2022,CH062,46.1,3.3,A,CH062,Uri,Uri,Uri,Uri
2022,CH063,38.5,1.6,A,CH063,Schwyz,Schwyz,Schwyz,Svitto
2022,CH064,46.8,3.5,A,CH064,Obwalden,Obwald,Obwalden,Obvaldo
2022,CH065,37.4,3.1,A,CH065,Nidwalden,Nidwald,Nidwalden,Nidvaldo
2022,CH051,47.0,3.7,A,CH051,Glarus,Glaris,Glarus,Glarona
2022,CH066,31.1,1.2,A,CH066,Zug,Zoug,Zug,Zugo
2022,CH022,41.7,1.2,A,CH022,Freiburg,Fribourg,Freiburg,Friburgo
2022,CH023,46.1,1.3,A,CH023,Solothurn,Soleure,Solothurn,Soletta
2022,CH031,15.5,1.1,A,CH031,Basel-Stadt,Bâle-Ville,Basel-Stadt,Basilea Città
2022,CH032,43.6,1.2,A,CH032,Basel-Landschaft,Bâle-Campagne,Basel-Landschaft,Basilea Campagna
2022,CH052,41.3,2.3,A,CH052,Schaffhausen,Schaffhouse,Schaffhausen,Sciaffusa
2022,CH053,49.1,3.0,A,CH053,Appenzell Ausserrhoden,Appenzell Rhodes-Extérieures,Appenzell Ausserrhoden,Appenzello Esterno
2022,CH054,52.8,6.2,A,CH054,Appenzell Innerrhoden,Appenzell Rhodes-Intérieures,Appenzell Innerrhoden,Appenzello Interno
2022,CH055,39.9,0.9,A,CH055,St. Gallen,Saint-Gall,St. Gallen,San Gallo
2022,CH056,43.1,1.6,A,CH056,Graubünden,Grisons,Graubünden,Grigioni
2022,CH033,46.0,0.6,A,CH033,Aargau,Argovie,Aargau,Argovia
2022,CH057,44.8,0.9,A,CH057,Thurgau,Thurgovie,Thurgau,Turgovia
2022,CH070,39.0,0.8,A,CH070,Ticino,Tessin,Tessin,Ticino
2022,CH011,30.1,0.5,A,CH011,Vaud,Vaud,Waadt,Vaud
2022,CH012,53.8,1.2,A,CH012,Valais,Valais,Wallis,Vallese
2022,CH024,30.7,1.0,A,CH024,Neuchâtel,Neuchâtel,Neuenburg,Neuchâtel
2022,CH013,18.9,0.6,A,CH013,Genève,Genève,Genf,Ginevra
2022,CH025,48.6,2.6,A,CH025,Jura,Jura,Jura,Giura
2022,CH,35.9,0.2,A,CH,Switzerland,Suisse,Schweiz,Svizzera
2023,CH040,26.7,0.4,A,CH040,Zürich,Zurich,Zürich,Zurigo
2023,CH021,38.0,0.6,A,CH021,Bern,Berne,Bern,Berna
2023,CH061,34.1,0.7,A,CH061,Luzern,Lucerne,Luzern,Lucerna
2023,CH062,46.8,3.6,A,CH062,Uri,Uri,Uri,Uri
2023,CH063,39.3,1.6,A,CH063,Schwyz,Schwyz,Schwyz,Svitto
2023,CH064,43.2,3.4,A,CH064,Obwalden,Obwald,Obwalden,Obvaldo
2023,CH065,38.2,3.1,A,CH065,Nidwalden,Nidwald,Nidwalden,Nidvaldo
2023,CH051,47.3,3.7,A,CH051,Glarus,Glaris,Glarus,Glarona
2023,CH066,31.6,1.2,A,CH066,Zug,Zoug,Zug,Zugo
2023,CH022,41.7,1.2,A,CH022,Freiburg,Fribourg,Freiburg,Friburgo
2023,CH023,45.7,1.3,A,CH023,Solothurn,Soleure,Solothurn,Soletta
2023,CH031,15.9,1.1,A,CH031,Basel-Stadt,Bâle-Ville,Basel-Stadt,Basilea Città
2023,CH032,43.5,1.2,A,CH032,Basel-Landschaft,Bâle-Campagne,Basel-Landschaft,Basilea Campagna
2023,CH052,41.5,2.3,A,CH052,Schaffhausen,Schaffhouse,Schaffhausen,Sciaffusa
2023,CH053,46.9,3.0,A,CH053,Appenzell Ausserrhoden,Appenzell Rhodes-Extérieures,Appenzell Ausserrhoden,Appenzello Esterno
2023,CH054,49.4,5.6,A,CH054,Appenzell Innerrhoden,Appenzell Rhodes-Intérieures,Appenzell Innerrhoden,Appenzello Interno
2023,CH055,38.7,0.9,A,CH055,St. Gallen,Saint-Gall,St. Gallen,San Gallo
2023,CH056,43.9,1.5,A,CH056,Graubünden,Grisons,Graubünden,Grigioni
2023,CH033,45.5,0.6,A,CH033,Aargau,Argovie,Aargau,Argovia
2023,CH057,44.6,1.3,A,CH057,Thurgau,Thurgovie,Thurgau,Turgovia
2023,CH070,38.2,0.8,A,CH070,Ticino,Tessin,Tessin,Ticino
2023,CH011,30.0,0.5,A,CH011,Vaud,Vaud,Waadt,Vaud
2023,CH012,53.6,1.2,A,CH012,Valais,Valais,Wallis,Vallese
2023,CH024,29.9,1.0,A,CH024,Neuchâtel,Neuchâtel,Neuenburg,Neuchâtel
2023,CH013,18.4,0.5,A,CH013,Genève,Genève,Genf,Ginevra
2023,CH025,50.6,2.5,A,CH025,Jura,Jura,Jura,Giura
2023,CH,35.8,0.2,A,CH,Switzerland,Suisse,Schweiz,Svizzera
2024,CH040,27.1,0.5,A,CH040,Zürich,Zurich,Zürich,Zurigo
2024,CH021,37.9,0.6,A,CH021,Bern,Berne,Bern,Berna
2024,CH061,33.0,0.7,A,CH061,Luzern,Lucerne,Luzern,Lucerna
2024,CH062,44.0,3.5,A,CH062,Uri,Uri,Uri,Uri
2024,CH063,39.7,1.6,A,CH063,Schwyz,Schwyz,Schwyz,Svitto
2024,CH064,43.0,3.6,A,CH064,Obwalden,Obwald,Obwalden,Obvaldo
2024,CH065,40.7,3.2,A,CH065,Nidwalden,Nidwald,Nidwalden,Nidvaldo
2024,CH051,44.9,3.6,A,CH051,Glarus,Glaris,Glarus,Glarona
2024,CH066,32.0,1.2,A,CH066,Zug,Zoug,Zug,Zugo
2024,CH022,42.3,1.2,A,CH022,Freiburg,Fribourg,Freiburg,Friburgo
2024,CH023,45.2,1.3,A,CH023,Solothurn,Soleure,Solothurn,Soletta
2024,CH031,14.0,1.0,A,CH031,Basel-Stadt,Bâle-Ville,Basel-Stadt,Basilea Città
2024,CH032,43.9,1.2,A,CH032,Basel-Landschaft,Bâle-Campagne,Basel-Landschaft,Basilea Campagna
2024,CH052,39.7,2.2,A,CH052,Schaffhausen,Schaffhouse,Schaffhausen,Sciaffusa
2024,CH053,46.8,3.0,A,CH053,Appenzell Ausserrhoden,Appenzell Rhodes-Extérieures,Appenzell Ausserrhoden,Appenzello Esterno
2024,CH054,55.8,5.8,A,CH054,Appenzell Innerrhoden,Appenzell Rhodes-Intérieures,Appenzell Innerrhoden,Appenzello Interno
2024,CH055,39.7,0.9,A,CH055,St. Gallen,Saint-Gall,St. Gallen,San Gallo
2024,CH056,42.5,1.5,A,CH056,Graubünden,Grisons,Graubünden,Grigioni
2024,CH033,45.3,0.6,A,CH033,Aargau,Argovie,Aargau,Argovia
2024,CH057,43.5,1.3,A,CH057,Thurgau,Thurgovie,Thurgau,Turgovia
2024,CH070,38.7,0.8,A,CH070,Ticino,Tessin,Tessin,Ticino
2024,CH011,29.6,0.5,A,CH011,Vaud,Vaud,Waadt,Vaud
2024,CH012,52.6,1.2,A,CH012,Valais,Valais,Wallis,Vallese
2024,CH024,31.0,1.0,A,CH024,Neuchâtel,Neuchâtel,Neuenburg,Neuchâtel
2024,CH013,18.6,0.6,A,CH013,Genève,Genève,Genf,Ginevra
2024,CH025,48.3,2.4,A,CH025,Jura,Jura,Jura,Giura
2024,CH,35.7,0.2,A,CH,Switzerland,Suisse,Schweiz,Svizzera
