alter,bewohnertyp,absolute zahlen,"vertrauens-intervall : 
± (in %)",anteil in %,"vertrauens-
intervall : 
± (in %-pkte)",datenqualität,year
41,Eigentümer,40519.0,5.5,31.5,1.5,,2024
41,Andere Situation2),2124.0,27.3,1.6,0.4,,2024
41,Total,128836.0,3.2,100.0,,,2024
42,Mieter oder Genossenschafter,84333.0,4.2,64.8,1.6,,2024
42,Eigentümer,43276.0,5.4,33.2,1.5,,2024
42,Andere Situation2),2629.0,26.2,2.0,0.5,,2024
42,Total,130238.0,3.3,100.0,,,2024
43,Mieter oder Genossenschafter,82304.0,4.2,63.7,1.6,,2024
43,Eigentümer,44488.0,5.4,34.4,1.5,,2024
43,Andere Situation2),2437.0,27.9,1.9,0.5,,2024
43,Total,129229.0,3.3,100.0,,,2024
44,Mieter oder Genossenschafter,79573.0,4.2,62.7,1.6,,2024
44,Eigentümer,45152.0,5.2,35.6,1.5,,2024
44,Andere Situation2),2264.0,26.3,1.8,0.5,,2024
44,Total,126988.0,3.3,100.0,,,2024
45,Mieter oder Genossenschafter,72468.0,4.4,59.8,1.6,,2024
45,Eigentümer,46348.0,5.2,38.3,1.6,,2024
45,Andere Situation2),2323.0,26.3,1.9,0.5,,2024
45,Total,121139.0,3.3,100.0,,,2024
46,Mieter oder Genossenschafter,68988.0,4.5,60.0,1.7,,2024
46,Eigentümer,44074.0,5.4,38.4,1.7,,2024
46,Andere Situation2),1846.0,29.1,1.6,0.5,,2024
46,Total,114908.0,3.4,100.0,,,2024
47,Mieter oder Genossenschafter,70861.0,4.4,58.6,1.6,,2024
47,Eigentümer,47413.0,5.1,39.2,1.6,,2024
47,Andere Situation2),2742.0,23.7,2.3,0.5,,2024
47,Total,121016.0,3.3,100.0,,,2024
48,Mieter oder Genossenschafter,72886.0,4.5,58.0,1.6,,2024
48,Eigentümer,50605.0,5.0,40.2,1.6,,2024
48,Andere Situation2),2236.0,27.2,1.8,0.5,,2024
48,Total,125727.0,3.3,100.0,,,2024
49,Mieter oder Genossenschafter,66414.0,4.6,56.0,1.7,,2024
49,Eigentümer,50404.0,5.0,42.5,1.7,,2024
49,Andere Situation2),1744.0,30.1,1.5,0.4,,2024
49,Total,118562.0,3.4,100.0,,,2024
50,Mieter oder Genossenschafter,66829.0,4.6,56.8,1.6,,2024
50,Eigentümer,49101.0,4.9,41.7,1.6,,2024
50,Andere Situation2),1731.0,27.7,1.5,0.4,,2024
50,Total,117661.0,3.3,100.0,,,2024
51,Mieter oder Genossenschafter,64825.0,4.7,52.9,1.7,,2024
51,Eigentümer,55542.0,4.8,45.3,1.7,,2024
51,Andere Situation2),2272.0,26.7,1.9,0.5,,2024
51,Total,122639.0,3.3,100.0,,,2024
52,Mieter oder Genossenschafter,64207.0,4.6,53.6,1.7,,2024
52,Eigentümer,53263.0,4.9,44.5,1.7,,2024
52,Andere Situation2),2335.0,27.2,1.9,0.5,,2024
52,Total,119804.0,3.3,100.0,,,2024
53,Mieter oder Genossenschafter,64059.0,4.7,52.1,1.6,,2024
53,Eigentümer,56401.0,4.7,45.9,1.6,,2024
53,Andere Situation2),2543.0,28.7,2.1,0.6,,2024
53,Total,123002.0,3.3,100.0,,,2024
54,Mieter oder Genossenschafter,63390.0,4.6,49.9,1.6,,2024
54,Eigentümer,61624.0,4.5,48.5,1.6,,2024
54,Andere Situation2),2124.0,27.0,1.7,0.4,,2024
54,Total,127138.0,3.2,100.0,,,2024
55,Mieter oder Genossenschafter,62671.0,4.6,49.7,1.6,,2024
55,Eigentümer,61872.0,4.5,49.1,1.6,,2024
55,Andere Situation2),1507.0,31.9,1.2,0.4,*****,2024
55,Total,126051.0,3.2,100.0,,,2024
56,Mieter oder Genossenschafter,62320.0,4.6,47.8,1.6,,2024
56,Eigentümer,65550.0,4.3,50.3,1.6,,2024
56,Andere Situation2),2374.0,26.1,1.8,0.5,,2024
56,Total,130244.0,3.1,100.0,,,2024
57,Mieter oder Genossenschafter,63826.0,4.6,49.8,1.6,,2024
57,Eigentümer,62432.0,4.5,48.7,1.6,,2024
57,Andere Situation2),2017.0,26.4,1.6,0.4,,2024
57,Total,128275.0,3.2,100.0,,,2024
58,Mieter oder Genossenschafter,64769.0,4.6,48.5,1.6,,2024
58,Eigentümer,66228.0,4.4,49.6,1.6,,2024
58,Andere Situation2),2486.0,23.3,1.9,0.4,,2024
58,Total,133483.0,3.1,100.0,,,2024
59,Mieter oder Genossenschafter,61604.0,4.7,47.8,1.6,,2024
59,Eigentümer,64818.0,4.4,50.3,1.6,,2024
59,Andere Situation2),2336.0,26.0,1.8,0.5,,2024
59,Total,128758.0,3.2,100.0,,,2024
60,Mieter oder Genossenschafter,57909.0,4.7,45.4,1.6,,2024
60,Eigentümer,67436.0,4.2,52.9,1.6,,2024
60,Andere Situation2),2229.0,24.4,1.7,0.4,,2024
60,Total,127573.0,3.1,100.0,,,2024
61,Mieter oder Genossenschafter,57097.0,4.8,45.9,1.6,,2024
61,Eigentümer,64571.0,4.3,51.9,1.6,,2024
61,Andere Situation2),2701.0,24.0,2.2,0.5,,2024
61,Total,124368.0,3.2,100.0,,,2024
62,Mieter oder Genossenschafter,53552.0,5.0,44.9,1.6,,2024
62,Eigentümer,62616.0,4.4,52.5,1.6,,2024
62,Andere Situation2),3033.0,21.5,2.5,0.5,,2024
62,Total,119201.0,3.2,100.0,,,2024
63,Mieter oder Genossenschafter,48419.0,5.2,42.6,1.7,,2024
63,Eigentümer,62266.0,4.4,54.8,1.7,,2024
63,Andere Situation2),3003.0,22.3,2.6,0.6,,2024
63,Total,113687.0,3.3,100.0,,,2024
64,Mieter oder Genossenschafter,47988.0,5.2,43.9,1.7,,2024
64,Eigentümer,59027.0,4.5,54.0,1.7,,2024
64,Andere Situation2),2299.0,23.0,2.1,0.5,,2024
64,Total,109313.0,3.4,100.0,,,2024
65,Mieter oder Genossenschafter,44907.0,5.4,41.7,1.7,,2024
65,Eigentümer,60111.0,4.5,55.8,1.7,,2024
65,Andere Situation2),2621.0,23.7,2.4,0.6,,2024
65,Total,107639.0,3.4,100.0,,,2024
66,Mieter oder Genossenschafter,38663.0,5.7,39.8,1.7,,2024
66,Eigentümer,56158.0,4.6,57.9,1.8,,2024
66,Andere Situation2),2201.0,24.9,2.3,0.6,,2024
66,Total,97022.0,3.5,100.0,,,2024
67,Mieter oder Genossenschafter,37587.0,5.7,40.4,1.8,,2024
67,Eigentümer,53049.0,4.7,57.0,1.8,,2024
