alter,bewohnertyp,absolute zahlen,"vertrauens-intervall : 
± (in %)",anteil in %,"vertrauens-
intervall : 
± (in %-pkte)",datenqualität,time_period,source_sheet,sheet_type
30,Andere Situation2),4875.0,19.6,4.2,0.8,,2024,SE2024,bewohnertyp
30,Total,114918.0,3.7,100.0,,,2024,SE2024,bewohnertyp
31,Mieter oder Genossenschafter,104618.0,3.8,83.4,1.4,,2024,SE2024,bewohnertyp
31,Eigentümer,16109.0,9.7,12.8,1.2,,2024,SE2024,bewohnertyp
31,Andere Situation2),4716.0,21.6,3.8,0.8,,2024,SE2024,bewohnertyp
31,Total,125442.0,3.5,100.0,,,2024,SE2024,bewohnertyp
32,Mieter oder Genossenschafter,105545.0,3.8,82.5,1.3,,2024,SE2024,bewohnertyp
32,Eigentümer,18337.0,9.0,14.3,1.2,,2024,SE2024,bewohnertyp
32,Andere Situation2),4013.0,22.1,3.1,0.7,,2024,SE2024,bewohnertyp
32,Total,127895.0,3.4,100.0,,,2024,SE2024,bewohnertyp
33,Mieter oder Genossenschafter,102278.0,3.8,79.2,1.4,,2024,SE2024,bewohnertyp
33,Eigentümer,22867.0,8.3,17.7,1.3,,2024,SE2024,bewohnertyp
33,Andere Situation2),3916.0,20.9,3.0,0.6,,2024,SE2024,bewohnertyp
33,Total,129061.0,3.4,100.0,,,2024,SE2024,bewohnertyp
34,Mieter oder Genossenschafter,105476.0,3.7,77.9,1.4,,2024,SE2024,bewohnertyp
34,Eigentümer,26174.0,7.3,19.3,1.3,,2024,SE2024,bewohnertyp
34,Andere Situation2),3727.0,22.8,2.8,0.6,,2024,SE2024,bewohnertyp
34,Total,135377.0,3.3,100.0,,,2024,SE2024,bewohnertyp
35,Mieter oder Genossenschafter,96325.0,3.9,76.8,1.4,,2024,SE2024,bewohnertyp
35,Eigentümer,26016.0,7.1,20.7,1.3,,2024,SE2024,bewohnertyp
35,Andere Situation2),3074.0,24.3,2.5,0.6,,2024,SE2024,bewohnertyp
35,Total,125415.0,3.4,100.0,,,2024,SE2024,bewohnertyp
36,Mieter oder Genossenschafter,96852.0,3.8,73.8,1.4,,2024,SE2024,bewohnertyp
36,Eigentümer,31428.0,6.6,23.9,1.4,,2024,SE2024,bewohnertyp
36,Andere Situation2),2953.0,22.8,2.3,0.5,,2024,SE2024,bewohnertyp
36,Total,131233.0,3.3,100.0,,,2024,SE2024,bewohnertyp
37,Mieter oder Genossenschafter,94731.0,3.9,72.6,1.5,,2024,SE2024,bewohnertyp
37,Eigentümer,33046.0,6.4,25.3,1.4,,2024,SE2024,bewohnertyp
37,Andere Situation2),2626.0,25.6,2.0,0.5,,2024,SE2024,bewohnertyp
37,Total,130403.0,3.3,100.0,,,2024,SE2024,bewohnertyp
38,Mieter oder Genossenschafter,94212.0,3.9,69.7,1.5,,2024,SE2024,bewohnertyp
38,Eigentümer,38165.0,5.8,28.2,1.4,,2024,SE2024,bewohnertyp
38,Andere Situation2),2883.0,27.2,2.1,0.6,,2024,SE2024,bewohnertyp
38,Total,135260.0,3.2,100.0,,,2024,SE2024,bewohnertyp
39,Mieter oder Genossenschafter,90310.0,4.0,69.0,1.5,,2024,SE2024,bewohnertyp
39,Eigentümer,37007.0,5.9,28.3,1.4,,2024,SE2024,bewohnertyp
39,Andere Situation2),3516.0,23.9,2.7,0.6,,2024,SE2024,bewohnertyp
39,Total,130833.0,3.3,100.0,,,2024,SE2024,bewohnertyp
40,Mieter oder Genossenschafter,83523.0,4.1,66.2,1.5,,2024,SE2024,bewohnertyp
40,Eigentümer,40731.0,5.6,32.3,1.5,,2024,SE2024,bewohnertyp
40,Andere Situation2),1824.0,28.8,1.4,0.4,,2024,SE2024,bewohnertyp
40,Total,126077.0,3.3,100.0,,,2024,SE2024,bewohnertyp
41,Mieter oder Genossenschafter,86192.0,4.0,66.9,1.5,,2024,SE2024,bewohnertyp
41,Eigentümer,40519.0,5.5,31.5,1.5,,2024,SE2024,bewohnertyp
41,Andere Situation2),2124.0,27.3,1.6,0.4,,2024,SE2024,bewohnertyp
41,Total,128836.0,3.2,100.0,,,2024,SE2024,bewohnertyp
42,Mieter oder Genossenschafter,84333.0,4.2,64.8,1.6,,2024,SE2024,bewohnertyp
42,Eigentümer,43276.0,5.4,33.2,1.5,,2024,SE2024,bewohnertyp
42,Andere Situation2),2629.0,26.2,2.0,0.5,,2024,SE2024,bewohnertyp
42,Total,130238.0,3.3,100.0,,,2024,SE2024,bewohnertyp
43,Mieter oder Genossenschafter,82304.0,4.2,63.7,1.6,,2024,SE2024,bewohnertyp
43,Eigentümer,44488.0,5.4,34.4,1.5,,2024,SE2024,bewohnertyp
43,Andere Situation2),2437.0,27.9,1.9,0.5,,2024,SE2024,bewohnertyp
43,Total,129229.0,3.3,100.0,,,2024,SE2024,bewohnertyp
44,Mieter oder Genossenschafter,79573.0,4.2,62.7,1.6,,2024,SE2024,bewohnertyp
44,Eigentümer,45152.0,5.2,35.6,1.5,,2024,SE2024,bewohnertyp
44,Andere Situation2),2264.0,26.3,1.8,0.5,,2024,SE2024,bewohnertyp
44,Total,126988.0,3.3,100.0,,,2024,SE2024,bewohnertyp
45,Mieter oder Genossenschafter,72468.0,4.4,59.8,1.6,,2024,SE2024,bewohnertyp
45,Eigentümer,46348.0,5.2,38.3,1.6,,2024,SE2024,bewohnertyp
45,Andere Situation2),2323.0,26.3,1.9,0.5,,2024,SE2024,bewohnertyp
45,Total,121139.0,3.3,100.0,,,2024,SE2024,bewohnertyp
46,Mieter oder Genossenschafter,68988.0,4.5,60.0,1.7,,2024,SE2024,bewohnertyp
46,Eigentümer,44074.0,5.4,38.4,1.7,,2024,SE2024,bewohnertyp
46,Andere Situation2),1846.0,29.1,1.6,0.5,,2024,SE2024,bewohnertyp
46,Total,114908.0,3.4,100.0,,,2024,SE2024,bewohnertyp
47,Mieter oder Genossenschafter,70861.0,4.4,58.6,1.6,,2024,SE2024,bewohnertyp
47,Eigentümer,47413.0,5.1,39.2,1.6,,2024,SE2024,bewohnertyp
47,Andere Situation2),2742.0,23.7,2.3,0.5,,2024,SE2024,bewohnertyp
47,Total,121016.0,3.3,100.0,,,2024,SE2024,bewohnertyp
48,Mieter oder Genossenschafter,72886.0,4.5,58.0,1.6,,2024,SE2024,bewohnertyp
48,Eigentümer,50605.0,5.0,40.2,1.6,,2024,SE2024,bewohnertyp
48,Andere Situation2),2236.0,27.2,1.8,0.5,,2024,SE2024,bewohnertyp
48,Total,125727.0,3.3,100.0,,,2024,SE2024,bewohnertyp
49,Mieter oder Genossenschafter,66414.0,4.6,56.0,1.7,,2024,SE2024,bewohnertyp
49,Eigentümer,50404.0,5.0,42.5,1.7,,2024,SE2024,bewohnertyp
49,Andere Situation2),1744.0,30.1,1.5,0.4,,2024,SE2024,bewohnertyp
49,Total,118562.0,3.4,100.0,,,2024,SE2024,bewohnertyp
50,Mieter oder Genossenschafter,66829.0,4.6,56.8,1.6,,2024,SE2024,bewohnertyp
50,Eigentümer,49101.0,4.9,41.7,1.6,,2024,SE2024,bewohnertyp
50,Andere Situation2),1731.0,27.7,1.5,0.4,,2024,SE2024,bewohnertyp
50,Total,117661.0,3.3,100.0,,,2024,SE2024,bewohnertyp
51,Mieter oder Genossenschafter,64825.0,4.7,52.9,1.7,,2024,SE2024,bewohnertyp
51,Eigentümer,55542.0,4.8,45.3,1.7,,2024,SE2024,bewohnertyp
51,Andere Situation2),2272.0,26.7,1.9,0.5,,2024,SE2024,bewohnertyp
51,Total,122639.0,3.3,100.0,,,2024,SE2024,bewohnertyp
52,Mieter oder Genossenschafter,64207.0,4.6,53.6,1.7,,2024,SE2024,bewohnertyp
52,Eigentümer,53263.0,4.9,44.5,1.7,,2024,SE2024,bewohnertyp
52,Andere Situation2),2335.0,27.2,1.9,0.5,,2024,SE2024,bewohnertyp
52,Total,119804.0,3.3,100.0,,,2024,SE2024,bewohnertyp
53,Mieter oder Genossenschafter,64059.0,4.7,52.1,1.6,,2024,SE2024,bewohnertyp
53,Eigentümer,56401.0,4.7,45.9,1.6,,2024,SE2024,bewohnertyp
53,Andere Situation2),2543.0,28.7,2.1,0.6,,2024,SE2024,bewohnertyp
53,Total,123002.0,3.3,100.0,,,2024,SE2024,bewohnertyp
54,Mieter oder Genossenschafter,63390.0,4.6,49.9,1.6,,2024,SE2024,bewohnertyp
54,Eigentümer,61624.0,4.5,48.5,1.6,,2024,SE2024,bewohnertyp
54,Andere Situation2),2124.0,27.0,1.7,0.4,,2024,SE2024,bewohnertyp
54,Total,127138.0,3.2,100.0,,,2024,SE2024,bewohnertyp
55,Mieter oder Genossenschafter,62671.0,4.6,49.7,1.6,,2024,SE2024,bewohnertyp
55,Eigentümer,61872.0,4.5,49.1,1.6,,2024,SE2024,bewohnertyp
55,Andere Situation2),1507.0,31.9,1.2,0.4,*****,2024,SE2024,bewohnertyp
55,Total,126051.0,3.2,100.0,,,2024,SE2024,bewohnertyp
56,Mieter oder Genossenschafter,62320.0,4.6,47.8,1.6,,2024,SE2024,bewohnertyp
56,Eigentümer,65550.0,4.3,50.3,1.6,,2024,SE2024,bewohnertyp
56,Andere Situation2),2374.0,26.1,1.8,0.5,,2024,SE2024,bewohnertyp
56,Total,130244.0,3.1,100.0,,,2024,SE2024,bewohnertyp
57,Mieter oder Genossenschafter,63826.0,4.6,49.8,1.6,,2024,SE2024,bewohnertyp
57,Eigentümer,62432.0,4.5,48.7,1.6,,2024,SE2024,bewohnertyp
57,Andere Situation2),2017.0,26.4,1.6,0.4,,2024,SE2024,bewohnertyp
57,Total,128275.0,3.2,100.0,,,2024,SE2024,bewohnertyp
58,Mieter oder Genossenschafter,64769.0,4.6,48.5,1.6,,2024,SE2024,bewohnertyp
58,Eigentümer,66228.0,4.4,49.6,1.6,,2024,SE2024,bewohnertyp
58,Andere Situation2),2486.0,23.3,1.9,0.4,,2024,SE2024,bewohnertyp
58,Total,133483.0,3.1,100.0,,,2024,SE2024,bewohnertyp
59,Mieter oder Genossenschafter,61604.0,4.7,47.8,1.6,,2024,SE2024,bewohnertyp
59,Eigentümer,64818.0,4.4,50.3,1.6,,2024,SE2024,bewohnertyp
59,Andere Situation2),2336.0,26.0,1.8,0.5,,2024,SE2024,bewohnertyp
59,Total,128758.0,3.2,100.0,,,2024,SE2024,bewohnertyp
60,Mieter oder Genossenschafter,57909.0,4.7,45.4,1.6,,2024,SE2024,bewohnertyp
60,Eigentümer,67436.0,4.2,52.9,1.6,,2024,SE2024,bewohnertyp
60,Andere Situation2),2229.0,24.4,1.7,0.4,,2024,SE2024,bewohnertyp
60,Total,127573.0,3.1,100.0,,,2024,SE2024,bewohnertyp
61,Mieter oder Genossenschafter,57097.0,4.8,45.9,1.6,,2024,SE2024,bewohnertyp
61,Eigentümer,64571.0,4.3,51.9,1.6,,2024,SE2024,bewohnertyp
61,Andere Situation2),2701.0,24.0,2.2,0.5,,2024,SE2024,bewohnertyp
61,Total,124368.0,3.2,100.0,,,2024,SE2024,bewohnertyp
