alter,bewohnertyp,absolute zahlen,"vertrauens-intervall : 
± (in %)",anteil in %,"vertrauens-
intervall : 
± (in %-pkte)",datenqualität,time_period,source_sheet,sheet_type
93,Total,7529.0,12.6,100.0,,,2024,SE2024,bewohnertyp
94,Mieter oder Genossenschafter,2491.0,21.1,41.7,6.9,,2024,SE2024,bewohnertyp
94,Eigentümer,2999.0,20.5,50.2,7.0,,2024,SE2024,bewohnertyp
94,Andere Situation2),489.4,47.3,8.2,3.7,*****,2024,SE2024,bewohnertyp
94,Total,5979.0,14.1,100.0,,,2024,SE2024,bewohnertyp
95,Mieter oder Genossenschafter,1832.0,25.2,43.3,8.4,,2024,SE2024,bewohnertyp
95,Eigentümer,1783.0,27.2,42.1,8.5,,2024,SE2024,bewohnertyp
95,Andere Situation2),616.5,41.8,14.6,5.7,*****,2024,SE2024,bewohnertyp
95,Total,4232.0,16.9,100.0,,,2024,SE2024,bewohnertyp
96,Mieter oder Genossenschafter,1242.0,30.0,50.8,10.9,*****,2024,SE2024,bewohnertyp
96,Eigentümer,966.6,36.3,39.5,10.9,*****,2024,SE2024,bewohnertyp
96,Andere Situation2),236.2,65.2,9.7,6.0,*****,2024,SE2024,bewohnertyp
96,Total,2445.0,21.8,100.0,,,2024,SE2024,bewohnertyp
97,Mieter oder Genossenschafter,822.0,35.6,52.8,13.2,*****,2024,SE2024,bewohnertyp
97,Eigentümer,555.2,45.8,35.7,12.9,*****,2024,SE2024,bewohnertyp
97,Andere Situation2),178.4,76.7,11.5,8.3,*****,2024,SE2024,bewohnertyp
97,Total,1556.0,26.4,100.0,,,2024,SE2024,bewohnertyp
98,Mieter oder Genossenschafter,546.8,45.9,40.3,14.6,*****,2024,SE2024,bewohnertyp
98,Eigentümer,689.3,43.5,50.8,15.0,*****,2024,SE2024,bewohnertyp
98,Andere Situation2),120.3,93.4,8.9,8.0,*****,2024,SE2024,bewohnertyp
98,Total,1356.0,30.0,100.0,,*****,2024,SE2024,bewohnertyp
99,Mieter oder Genossenschafter,350.7,60.9,53.6,22.2,*****,2024,SE2024,bewohnertyp
99,Eigentümer,286.3,68.1,43.7,22.1,*****,2024,SE2024,bewohnertyp
99,Andere Situation2),,,,,,2024,SE2024,bewohnertyp
99,Total,654.6,44.5,100.0,,*****,2024,SE2024,bewohnertyp
15,Mieter oder Genossenschafter,1235.0,6.3,45.3,2.0,,2023,SE2023,bewohnertyp
15,Eigentümer,1513.0,5.5,48.3,2.0,,2023,SE2023,bewohnertyp
15,Andere Situation2),189.0,15.7,6.4,1.0,,2023,SE2023,bewohnertyp
15,Total,2937.0,4.0,100.0,,,2023,SE2023,bewohnertyp
16,Mieter oder Genossenschafter,1167.0,6.4,43.3,2.1,,2023,SE2023,bewohnertyp
16,Eigentümer,1486.0,5.6,50.5,2.1,,2023,SE2023,bewohnertyp
16,Andere Situation2),186.0,15.7,6.1,0.9,,2023,SE2023,bewohnertyp
16,Total,2839.0,4.1,100.0,,,2023,SE2023,bewohnertyp
17,Mieter oder Genossenschafter,1183.0,6.3,43.3,2.0,,2023,SE2023,bewohnertyp
17,Eigentümer,1429.0,5.7,48.9,2.0,,2023,SE2023,bewohnertyp
17,Andere Situation2),216.0,14.8,7.8,1.1,,2023,SE2023,bewohnertyp
17,Total,2828.0,4.1,100.0,,,2023,SE2023,bewohnertyp
18,Mieter oder Genossenschafter,1058.0,6.9,43.3,2.2,,2023,SE2023,bewohnertyp
18,Eigentümer,1244.0,6.3,47.4,2.2,,2023,SE2023,bewohnertyp
18,Andere Situation2),258.0,13.5,9.3,1.2,,2023,SE2023,bewohnertyp
18,Total,2560.0,4.4,100.0,,,2023,SE2023,bewohnertyp
19,Mieter oder Genossenschafter,1009.0,7.1,42.4,2.2,,2023,SE2023,bewohnertyp
19,Eigentümer,1207.0,6.2,45.8,2.2,,2023,SE2023,bewohnertyp
19,Andere Situation2),318.0,12.1,11.8,1.3,,2023,SE2023,bewohnertyp
19,Total,2534.0,4.4,100.0,,,2023,SE2023,bewohnertyp
20,Mieter oder Genossenschafter,1051.0,6.8,42.5,2.2,,2023,SE2023,bewohnertyp
20,Eigentümer,1140.0,6.3,43.6,2.1,,2023,SE2023,bewohnertyp
20,Andere Situation2),359.0,11.7,13.9,1.5,,2023,SE2023,bewohnertyp
20,Total,2550.0,4.3,100.0,,,2023,SE2023,bewohnertyp
21,Mieter oder Genossenschafter,1163.0,6.6,45.6,2.2,,2023,SE2023,bewohnertyp
21,Eigentümer,1069.0,6.5,41.8,2.1,,2023,SE2023,bewohnertyp
21,Andere Situation2),314.0,12.3,12.6,1.4,,2023,SE2023,bewohnertyp
21,Total,2546.0,4.3,100.0,,,2023,SE2023,bewohnertyp
22,Mieter oder Genossenschafter,1338.0,6.0,50.8,2.2,,2023,SE2023,bewohnertyp
22,Eigentümer,900.0,7.2,36.3,2.1,,2023,SE2023,bewohnertyp
22,Andere Situation2),323.0,12.1,12.8,1.4,,2023,SE2023,bewohnertyp
22,Total,2561.0,4.3,100.0,,,2023,SE2023,bewohnertyp
23,Mieter oder Genossenschafter,1516.0,5.8,54.9,2.1,,2023,SE2023,bewohnertyp
23,Eigentümer,837.0,7.4,33.3,2.0,,2023,SE2023,bewohnertyp
23,Andere Situation2),304.0,12.4,11.8,1.4,,2023,SE2023,bewohnertyp
23,Total,2657.0,4.3,100.0,,,2023,SE2023,bewohnertyp
24,Mieter oder Genossenschafter,1690.0,5.4,60.7,2.1,,2023,SE2023,bewohnertyp
24,Eigentümer,687.0,8.2,26.8,1.9,,2023,SE2023,bewohnertyp
24,Andere Situation2),309.0,12.5,12.5,1.4,,2023,SE2023,bewohnertyp
24,Total,2686.0,4.2,100.0,,,2023,SE2023,bewohnertyp
25,Mieter oder Genossenschafter,2028.0,4.8,67.5,2.0,,2023,SE2023,bewohnertyp
25,Eigentümer,578.0,9.0,22.2,1.8,,2023,SE2023,bewohnertyp
25,Andere Situation2),260.0,13.7,10.3,1.3,,2023,SE2023,bewohnertyp
25,Total,2866.0,4.1,100.0,,,2023,SE2023,bewohnertyp
26,Mieter oder Genossenschafter,2271.0,4.5,74.9,1.8,,2023,SE2023,bewohnertyp
26,Eigentümer,445.0,10.5,17.0,1.6,,2023,SE2023,bewohnertyp
26,Andere Situation2),214.0,14.4,8.1,1.1,,2023,SE2023,bewohnertyp
26,Total,2930.0,4.0,100.0,,,2023,SE2023,bewohnertyp
27,Mieter oder Genossenschafter,2531.0,4.3,80.2,1.6,,2023,SE2023,bewohnertyp
27,Eigentümer,335.0,11.9,13.0,1.4,,2023,SE2023,bewohnertyp
27,Andere Situation2),192.0,15.4,6.8,1.0,,2023,SE2023,bewohnertyp
27,Total,3058.0,3.9,100.0,,,2023,SE2023,bewohnertyp
28,Mieter oder Genossenschafter,2914.0,4.0,83.9,1.4,,2023,SE2023,bewohnertyp
28,Eigentümer,342.0,11.6,10.6,1.2,,2023,SE2023,bewohnertyp
28,Andere Situation2),152.0,17.8,5.5,0.9,,2023,SE2023,bewohnertyp
28,Total,3408.0,3.7,100.0,,,2023,SE2023,bewohnertyp
29,Mieter oder Genossenschafter,3022.0,3.9,83.5,1.4,,2023,SE2023,bewohnertyp
29,Eigentümer,408.0,10.7,12.2,1.2,,2023,SE2023,bewohnertyp
29,Andere Situation2),134.0,18.5,4.3,0.8,,2023,SE2023,bewohnertyp
29,Total,3564.0,3.6,100.0,,,2023,SE2023,bewohnertyp
30,Mieter oder Genossenschafter,3201.0,3.8,83.6,1.3,,2023,SE2023,bewohnertyp
30,Eigentümer,465.0,10.0,12.4,1.2,,2023,SE2023,bewohnertyp
30,Andere Situation2),133.0,18.9,4.0,0.7,,2023,SE2023,bewohnertyp
30,Total,3799.0,3.5,100.0,,,2023,SE2023,bewohnertyp
31,Mieter oder Genossenschafter,3309.0,3.7,83.7,1.3,,2023,SE2023,bewohnertyp
31,Eigentümer,541.0,9.2,13.2,1.1,,2023,SE2023,bewohnertyp
31,Andere Situation2),105.0,22.1,3.2,0.7,,2023,SE2023,bewohnertyp
31,Total,3955.0,3.4,100.0,,,2023,SE2023,bewohnertyp
32,Mieter oder Genossenschafter,3243.0,3.7,81.6,1.3,,2023,SE2023,bewohnertyp
32,Eigentümer,652.0,8.5,15.7,1.2,,2023,SE2023,bewohnertyp
32,Andere Situation2),93.0,22.5,2.8,0.6,,2023,SE2023,bewohnertyp
32,Total,3988.0,3.4,100.0,,,2023,SE2023,bewohnertyp
33,Mieter oder Genossenschafter,3249.0,3.7,79.3,1.3,,2023,SE2023,bewohnertyp
33,Eigentümer,774.0,7.6,18.4,1.3,,2023,SE2023,bewohnertyp
33,Andere Situation2),80.0,24.5,2.3,0.6,,2023,SE2023,bewohnertyp
33,Total,4103.0,3.3,100.0,,,2023,SE2023,bewohnertyp
34,Mieter oder Genossenschafter,3070.0,3.9,76.8,1.4,,2023,SE2023,bewohnertyp
34,Eigentümer,851.0,7.3,20.6,1.4,,2023,SE2023,bewohnertyp
34,Andere Situation2),92.0,23.1,2.6,0.6,,2023,SE2023,bewohnertyp
34,Total,4013.0,3.4,100.0,,,2023,SE2023,bewohnertyp
35,Mieter oder Genossenschafter,3160.0,3.8,75.8,1.4,,2023,SE2023,bewohnertyp
35,Eigentümer,979.0,6.7,22.0,1.3,,2023,SE2023,bewohnertyp
35,Andere Situation2),79.0,24.1,2.2,0.5,,2023,SE2023,bewohnertyp
35,Total,4218.0,3.3,100.0,,,2023,SE2023,bewohnertyp
36,Mieter oder Genossenschafter,3021.0,3.9,72.7,1.4,,2023,SE2023,bewohnertyp
36,Eigentümer,1138.0,6.3,25.5,1.4,,2023,SE2023,bewohnertyp
36,Andere Situation2),70.0,26.1,1.9,0.5,,2023,SE2023,bewohnertyp
36,Total,4229.0,3.3,100.0,,,2023,SE2023,bewohnertyp
37,Mieter oder Genossenschafter,2974.0,3.9,72.0,1.5,,2023,SE2023,bewohnertyp
37,Eigentümer,1177.0,6.2,25.8,1.4,,2023,SE2023,bewohnertyp
37,Andere Situation2),71.0,25.7,2.2,0.6,,2023,SE2023,bewohnertyp
37,Total,4222.0,3.3,100.0,,,2023,SE2023,bewohnertyp
38,Mieter oder Genossenschafter,2906.0,4.0,70.1,1.5,,2023,SE2023,bewohnertyp
38,Eigentümer,1261.0,6.0,27.8,1.4,,2023,SE2023,bewohnertyp
38,Andere Situation2),69.0,26.7,2.1,0.5,,2023,SE2023,bewohnertyp
38,Total,4236.0,3.3,100.0,,,2023,SE2023,bewohnertyp
39,Mieter oder Genossenschafter,2869.0,4.0,68.5,1.5,,2023,SE2023,bewohnertyp
39,Eigentümer,1383.0,5.7,29.5,1.4,,2023,SE2023,bewohnertyp
39,Andere Situation2),79.0,24.9,2.0,0.5,,2023,SE2023,bewohnertyp
39,Total,4331.0,3.2,100.0,,,2023,SE2023,bewohnertyp
40,Mieter oder Genossenschafter,2715.0,4.1,66.1,1.5,,2023,SE2023,bewohnertyp
40,Eigentümer,1419.0,5.6,31.7,1.5,,2023,SE2023,bewohnertyp
40,Andere Situation2),79.0,25.2,2.2,0.6,,2023,SE2023,bewohnertyp
40,Total,4213.0,3.3,100.0,,,2023,SE2023,bewohnertyp
41,Mieter oder Genossenschafter,2697.0,4.2,64.7,1.5,,2023,SE2023,bewohnertyp
41,Eigentümer,1589.0,5.3,33.6,1.5,,2023,SE2023,bewohnertyp
41,Andere Situation2),61.0,27.5,1.7,0.5,,2023,SE2023,bewohnertyp
41,Total,4347.0,3.2,100.0,,,2023,SE2023,bewohnertyp
42,Mieter oder Genossenschafter,2518.0,4.3,62.9,1.6,,2023,SE2023,bewohnertyp
42,Eigentümer,1602.0,5.2,35.5,1.6,,2023,SE2023,bewohnertyp
42,Andere Situation2),56.0,28.7,1.6,0.5,,2023,SE2023,bewohnertyp
42,Total,4176.0,3.3,100.0,,,2023,SE2023,bewohnertyp
43,Mieter oder Genossenschafter,2394.0,4.3,60.6,1.6,,2023,SE2023,bewohnertyp
43,Eigentümer,1673.0,5.1,37.7,1.6,,2023,SE2023,bewohnertyp
43,Andere Situation2),66.0,26.2,1.6,0.4,,2023,SE2023,bewohnertyp
43,Total,4133.0,3.3,100.0,,,2023,SE2023,bewohnertyp
44,Mieter oder Genossenschafter,2462.0,4.3,61.8,1.6,,2023,SE2023,bewohnertyp
44,Eigentümer,1645.0,5.2,36.6,1.6,,2023,SE2023,bewohnertyp
44,Andere Situation2),59.0,28.3,1.6,0.5,,2023,SE2023,bewohnertyp
44,Total,4166.0,3.3,100.0,,,2023,SE2023,bewohnertyp
45,Mieter oder Genossenschafter,2352.0,4.4,59.3,1.6,,2023,SE2023,bewohnertyp
45,Eigentümer,1738.0,5.1,39.2,1.6,,2023,SE2023,bewohnertyp
45,Andere Situation2),58.0,28.1,1.6,0.4,,2023,SE2023,bewohnertyp
45,Total,4148.0,3.3,100.0,,,2023,SE2023,bewohnertyp
46,Mieter oder Genossenschafter,2337.0,4.5,57.9,1.6,,2023,SE2023,bewohnertyp
46,Eigentümer,1827.0,4.9,40.5,1.6,,2023,SE2023,bewohnertyp
46,Andere Situation2),58.0,27.9,1.6,0.4,,2023,SE2023,bewohnertyp
46,Total,4222.0,3.3,100.0,,,2023,SE2023,bewohnertyp
47,Mieter oder Genossenschafter,2194.0,4.6,55.3,1.6,,2023,SE2023,bewohnertyp
47,Eigentümer,1883.0,4.9,43.3,1.6,,2023,SE2023,bewohnertyp
47,Andere Situation2),58.0,28.9,1.4,0.4,,2023,SE2023,bewohnertyp
47,Total,4135.0,3.3,100.0,,,2023,SE2023,bewohnertyp
48,Mieter oder Genossenschafter,2275.0,4.5,55.8,1.6,,2023,SE2023,bewohnertyp
48,Eigentümer,1930.0,4.8,43.0,1.6,,2023,SE2023,bewohnertyp
48,Andere Situation2),47.0,31.4,1.2,0.4,*****,2023,SE2023,bewohnertyp
48,Total,4252.0,3.3,100.0,,,2023,SE2023,bewohnertyp
49,Mieter oder Genossenschafter,2230.0,4.5,53.8,1.6,,2023,SE2023,bewohnertyp
49,Eigentümer,1990.0,4.7,44.7,1.6,,2023,SE2023,bewohnertyp
49,Andere Situation2),64.0,26.4,1.5,0.4,,2023,SE2023,bewohnertyp
49,Total,4284.0,3.2,100.0,,,2023,SE2023,bewohnertyp
50,Mieter oder Genossenschafter,2161.0,4.6,51.7,1.6,,2023,SE2023,bewohnertyp
50,Eigentümer,2144.0,4.6,46.6,1.6,,2023,SE2023,bewohnertyp
50,Andere Situation2),69.0,25.9,1.7,0.4,,2023,SE2023,bewohnertyp
50,Total,4374.0,3.2,100.0,,,2023,SE2023,bewohnertyp
51,Mieter oder Genossenschafter,2276.0,4.5,52.5,1.6,,2023,SE2023,bewohnertyp
51,Eigentümer,2168.0,4.5,46.1,1.6,,2023,SE2023,bewohnertyp
51,Andere Situation2),56.0,30.9,1.4,0.4,,2023,SE2023,bewohnertyp
51,Total,4500.0,3.2,100.0,,,2023,SE2023,bewohnertyp
52,Mieter oder Genossenschafter,2265.0,4.5,51.4,1.6,,2023,SE2023,bewohnertyp
52,Eigentümer,2200.0,4.5,47.0,1.6,,2023,SE2023,bewohnertyp
52,Andere Situation2),71.0,25.2,1.6,0.4,,2023,SE2023,bewohnertyp
52,Total,4536.0,3.1,100.0,,,2023,SE2023,bewohnertyp
53,Mieter oder Genossenschafter,2254.0,4.6,49.4,1.6,,2023,SE2023,bewohnertyp
53,Eigentümer,2388.0,4.3,49.0,1.6,,2023,SE2023,bewohnertyp
53,Andere Situation2),74.0,24.9,1.6,0.4,,2023,SE2023,bewohnertyp
53,Total,4716.0,3.1,100.0,,,2023,SE2023,bewohnertyp
54,Mieter oder Genossenschafter,2281.0,4.5,47.4,1.5,,2023,SE2023,bewohnertyp
54,Eigentümer,2540.0,4.2,51.2,1.5,,2023,SE2023,bewohnertyp
54,Andere Situation2),65.0,26.2,1.3,0.3,,2023,SE2023,bewohnertyp
54,Total,4886.0,3.0,100.0,,,2023,SE2023,bewohnertyp
55,Mieter oder Genossenschafter,2148.0,4.6,47.1,1.6,,2023,SE2023,bewohnertyp
55,Eigentümer,2444.0,4.3,51.0,1.6,,2023,SE2023,bewohnertyp
55,Andere Situation2),78.0,25.6,1.9,0.5,,2023,SE2023,bewohnertyp
55,Total,4670.0,3.1,100.0,,,2023,SE2023,bewohnertyp
56,Mieter oder Genossenschafter,2266.0,4.5,49.1,1.5,,2023,SE2023,bewohnertyp
56,Eigentümer,2423.0,4.3,48.9,1.5,,2023,SE2023,bewohnertyp
56,Andere Situation2),79.0,24.8,2.0,0.5,,2023,SE2023,bewohnertyp
56,Total,4768.0,3.1,100.0,,,2023,SE2023,bewohnertyp
57,Mieter oder Genossenschafter,2167.0,4.6,46.7,1.5,,2023,SE2023,bewohnertyp
57,Eigentümer,2513.0,4.2,51.6,1.5,,2023,SE2023,bewohnertyp
57,Andere Situation2),68.0,26.3,1.7,0.4,,2023,SE2023,bewohnertyp
57,Total,4748.0,3.1,100.0,,,2023,SE2023,bewohnertyp
58,Mieter oder Genossenschafter,2032.0,4.7,45.5,1.6,,2023,SE2023,bewohnertyp
58,Eigentümer,2471.0,4.2,52.4,1.6,,2023,SE2023,bewohnertyp
58,Andere Situation2),80.0,24.3,2.1,0.5,,2023,SE2023,bewohnertyp
58,Total,4583.0,3.1,100.0,,,2023,SE2023,bewohnertyp
59,Mieter oder Genossenschafter,2007.0,4.7,45.8,1.6,,2023,SE2023,bewohnertyp
59,Eigentümer,2403.0,4.3,52.5,1.6,,2023,SE2023,bewohnertyp
59,Andere Situation2),70.0,25.7,1.7,0.4,,2023,SE2023,bewohnertyp
59,Total,4480.0,3.1,100.0,,,2023,SE2023,bewohnertyp
60,Mieter oder Genossenschafter,1900.0,4.9,46.0,1.6,,2023,SE2023,bewohnertyp
60,Eigentümer,2293.0,4.4,52.3,1.6,,2023,SE2023,bewohnertyp
60,Andere Situation2),70.0,25.2,1.7,0.4,,2023,SE2023,bewohnertyp
60,Total,4263.0,3.2,100.0,,,2023,SE2023,bewohnertyp
61,Mieter oder Genossenschafter,1809.0,5.0,44.5,1.6,,2023,SE2023,bewohnertyp
61,Eigentümer,2272.0,4.4,53.3,1.6,,2023,SE2023,bewohnertyp
61,Andere Situation2),73.0,25.9,2.2,0.6,,2023,SE2023,bewohnertyp
61,Total,4154.0,3.3,100.0,,,2023,SE2023,bewohnertyp
62,Mieter oder Genossenschafter,1728.0,5.1,43.9,1.7,,2023,SE2023,bewohnertyp
62,Eigentümer,2226.0,4.5,53.9,1.7,,2023,SE2023,bewohnertyp
62,Andere Situation2),83.0,23.3,2.2,0.5,,2023,SE2023,bewohnertyp
62,Total,4037.0,3.3,100.0,,,2023,SE2023,bewohnertyp
63,Mieter oder Genossenschafter,1587.0,5.3,43.0,1.7,,2023,SE2023,bewohnertyp
63,Eigentümer,2204.0,4.5,54.9,1.7,,2023,SE2023,bewohnertyp
63,Andere Situation2),69.0,26.5,2.1,0.6,,2023,SE2023,bewohnertyp
63,Total,3860.0,3.4,100.0,,,2023,SE2023,bewohnertyp
64,Mieter oder Genossenschafter,1499.0,5.5,41.8,1.7,,2023,SE2023,bewohnertyp
64,Eigentümer,2104.0,4.6,55.8,1.7,,2023,SE2023,bewohnertyp
64,Andere Situation2),80.0,23.2,2.4,0.5,,2023,SE2023,bewohnertyp
64,Total,3683.0,3.5,100.0,,,2023,SE2023,bewohnertyp
65,Mieter oder Genossenschafter,1405.0,5.6,41.0,1.8,,2023,SE2023,bewohnertyp
65,Eigentümer,2056.0,4.6,57.1,1.8,,2023,SE2023,bewohnertyp
65,Andere Situation2),62.0,26.9,1.8,0.5,,2023,SE2023,bewohnertyp
65,Total,3523.0,3.5,100.0,,,2023,SE2023,bewohnertyp
66,Mieter oder Genossenschafter,1303.0,5.8,40.6,1.8,,2023,SE2023,bewohnertyp
66,Eigentümer,1896.0,4.8,57.0,1.8,,2023,SE2023,bewohnertyp
66,Andere Situation2),74.0,25.5,2.4,0.6,,2023,SE2023,bewohnertyp
66,Total,3273.0,3.7,100.0,,,2023,SE2023,bewohnertyp
67,Mieter oder Genossenschafter,1334.0,5.9,40.3,1.8,,2023,SE2023,bewohnertyp
67,Eigentümer,1921.0,4.8,57.4,1.8,,2023,SE2023,bewohnertyp
67,Andere Situation2),71.0,25.6,2.3,0.6,,2023,SE2023,bewohnertyp
67,Total,3326.0,3.7,100.0,,,2023,SE2023,bewohnertyp
68,Mieter oder Genossenschafter,1394.0,5.7,39.9,1.8,,2023,SE2023,bewohnertyp
68,Eigentümer,2018.0,4.7,57.6,1.8,,2023,SE2023,bewohnertyp
68,Andere Situation2),81.0,23.9,2.6,0.6,,2023,SE2023,bewohnertyp
68,Total,3493.0,3.5,100.0,,,2023,SE2023,bewohnertyp
69,Mieter oder Genossenschafter,1207.0,6.0,38.0,1.8,,2023,SE2023,bewohnertyp
69,Eigentümer,1906.0,4.8,59.2,1.8,,2023,SE2023,bewohnertyp
69,Andere Situation2),85.0,23.7,2.8,0.7,,2023,SE2023,bewohnertyp
69,Total,3198.0,3.7,100.0,,,2023,SE2023,bewohnertyp
70,Mieter oder Genossenschafter,1182.0,6.1,38.6,1.8,,2023,SE2023,bewohnertyp
70,Eigentümer,1865.0,4.8,59.2,1.9,,2023,SE2023,bewohnertyp
70,Andere Situation2),66.0,26.2,2.1,0.5,,2023,SE2023,bewohnertyp
70,Total,3113.0,3.7,100.0,,,2023,SE2023,bewohnertyp
71,Mieter oder Genossenschafter,1212.0,6.1,38.4,1.8,,2023,SE2023,bewohnertyp
71,Eigentümer,1865.0,4.8,58.9,1.8,,2023,SE2023,bewohnertyp
71,Andere Situation2),79.0,24.0,2.7,0.6,,2023,SE2023,bewohnertyp
71,Total,3156.0,3.7,100.0,,,2023,SE2023,bewohnertyp
72,Mieter oder Genossenschafter,1172.0,6.1,37.7,1.8,,2023,SE2023,bewohnertyp
72,Eigentümer,1802.0,4.9,58.4,1.9,,2023,SE2023,bewohnertyp
72,Andere Situation2),111.0,20.0,3.9,0.8,,2023,SE2023,bewohnertyp
72,Total,3085.0,3.8,100.0,,,2023,SE2023,bewohnertyp
73,Mieter oder Genossenschafter,1208.0,6.0,38.9,1.8,,2023,SE2023,bewohnertyp
73,Eigentümer,1758.0,4.9,57.5,1.9,,2023,SE2023,bewohnertyp
73,Andere Situation2),111.0,19.4,3.6,0.7,,2023,SE2023,bewohnertyp
73,Total,3077.0,3.7,100.0,,,2023,SE2023,bewohnertyp
74,Mieter oder Genossenschafter,1211.0,6.0,40.4,1.9,,2023,SE2023,bewohnertyp
74,Eigentümer,1673.0,5.1,55.5,1.9,,2023,SE2023,bewohnertyp
74,Andere Situation2),120.0,19.2,4.0,0.8,,2023,SE2023,bewohnertyp
74,Total,3004.0,3.8,100.0,,,2023,SE2023,bewohnertyp
75,Mieter oder Genossenschafter,1162.0,6.2,39.3,1.9,,2023,SE2023,bewohnertyp
75,Eigentümer,1668.0,5.1,56.4,1.9,,2023,SE2023,bewohnertyp
75,Andere Situation2),121.0,19.1,4.3,0.8,,2023,SE2023,bewohnertyp
75,Total,2951.0,3.8,100.0,,,2023,SE2023,bewohnertyp
76,Mieter oder Genossenschafter,1071.0,6.4,37.6,1.9,,2023,SE2023,bewohnertyp
76,Eigentümer,1624.0,5.1,57.4,1.9,,2023,SE2023,bewohnertyp
76,Andere Situation2),133.0,18.4,5.0,0.9,,2023,SE2023,bewohnertyp
76,Total,2828.0,3.9,100.0,,,2023,SE2023,bewohnertyp
77,Mieter oder Genossenschafter,1079.0,6.4,39.7,2.0,,2023,SE2023,bewohnertyp
77,Eigentümer,1496.0,5.3,54.9,2.0,,2023,SE2023,bewohnertyp
77,Andere Situation2),133.0,19.9,5.4,1.0,,2023,SE2023,bewohnertyp
77,Total,2708.0,4.0,100.0,,,2023,SE2023,bewohnertyp
78,Mieter oder Genossenschafter,997.0,6.6,39.5,2.0,,2023,SE2023,bewohnertyp
78,Eigentümer,1378.0,5.6,55.5,2.1,,2023,SE2023,bewohnertyp
78,Andere Situation2),119.0,18.9,5.0,0.9,,2023,SE2023,bewohnertyp
78,Total,2494.0,4.2,100.0,,,2023,SE2023,bewohnertyp
79,Mieter oder Genossenschafter,930.0,6.8,41.2,2.2,,2023,SE2023,bewohnertyp
79,Eigentümer,1218.0,5.9,53.3,2.2,,2023,SE2023,bewohnertyp
79,Andere Situation2),118.0,20.9,5.5,1.1,,2023,SE2023,bewohnertyp
79,Total,2266.0,4.4,100.0,,,2023,SE2023,bewohnertyp
80,Mieter oder Genossenschafter,836.0,7.2,39.1,2.2,,2023,SE2023,bewohnertyp
80,Eigentümer,1138.0,6.1,53.6,2.3,,2023,SE2023,bewohnertyp
80,Andere Situation2),143.0,17.4,7.3,1.2,,2023,SE2023,bewohnertyp
80,Total,2117.0,4.5,100.0,,,2023,SE2023,bewohnertyp
81,Mieter oder Genossenschafter,818.0,7.4,41.9,2.4,,2023,SE2023,bewohnertyp
81,Eigentümer,963.0,6.7,51.3,2.4,,2023,SE2023,bewohnertyp
81,Andere Situation2),127.0,19.2,6.8,1.3,,2023,SE2023,bewohnertyp
81,Total,1908.0,4.8,100.0,,,2023,SE2023,bewohnertyp
82,Mieter oder Genossenschafter,720.0,7.9,42.6,2.6,,2023,SE2023,bewohnertyp
82,Eigentümer,807.0,7.4,49.8,2.6,,2023,SE2023,bewohnertyp
82,Andere Situation2),125.0,18.6,7.6,1.4,,2023,SE2023,bewohnertyp
82,Total,1652.0,5.2,100.0,,,2023,SE2023,bewohnertyp
83,Mieter oder Genossenschafter,683.0,8.0,43.4,2.6,,2023,SE2023,bewohnertyp
83,Eigentümer,743.0,7.7,47.8,2.7,,2023,SE2023,bewohnertyp
83,Andere Situation2),130.0,19.0,8.8,1.6,,2023,SE2023,bewohnertyp
83,Total,1556.0,5.3,100.0,,,2023,SE2023,bewohnertyp
84,Mieter oder Genossenschafter,627.0,8.4,43.5,2.8,,2023,SE2023,bewohnertyp
84,Eigentümer,675.0,8.0,48.8,2.8,,2023,SE2023,bewohnertyp
84,Andere Situation2),95.0,21.4,7.7,1.6,,2023,SE2023,bewohnertyp
84,Total,1397.0,5.6,100.0,,,2023,SE2023,bewohnertyp
85,Mieter oder Genossenschafter,540.0,9.0,43.1,3.0,,2023,SE2023,bewohnertyp
85,Eigentümer,570.0,8.8,48.3,3.0,,2023,SE2023,bewohnertyp
85,Andere Situation2),103.0,20.6,8.6,1.7,,2023,SE2023,bewohnertyp
85,Total,1213.0,6.0,100.0,,,2023,SE2023,bewohnertyp
86,Mieter oder Genossenschafter,562.0,8.9,45.8,3.0,,2023,SE2023,bewohnertyp
86,Eigentümer,540.0,9.0,44.1,3.0,,2023,SE2023,bewohnertyp
86,Andere Situation2),121.0,18.9,10.1,1.8,,2023,SE2023,bewohnertyp
86,Total,1223.0,6.0,100.0,,,2023,SE2023,bewohnertyp
87,Mieter oder Genossenschafter,438.0,10.1,46.6,3.5,,2023,SE2023,bewohnertyp
87,Eigentümer,408.0,10.3,45.4,3.5,,2023,SE2023,bewohnertyp
87,Andere Situation2),70.0,25.0,8.1,1.9,,2023,SE2023,bewohnertyp
87,Total,916.0,6.9,100.0,,,2023,SE2023,bewohnertyp
88,Mieter oder Genossenschafter,360.0,11.0,42.8,3.6,,2023,SE2023,bewohnertyp
88,Eigentümer,382.0,10.8,47.3,3.7,,2023,SE2023,bewohnertyp
88,Andere Situation2),76.0,24.1,9.9,2.3,,2023,SE2023,bewohnertyp
88,Total,818.0,7.3,100.0,,,2023,SE2023,bewohnertyp
89,Mieter oder Genossenschafter,339.0,11.4,46.9,3.9,,2023,SE2023,bewohnertyp
89,Eigentümer,315.0,11.7,44.4,3.9,,2023,SE2023,bewohnertyp
89,Andere Situation2),63.0,27.2,8.7,2.3,,2023,SE2023,bewohnertyp
