year,variable_name,age_group_label,age_min,age_max,metric,value,unit,scale,notes
2019,praemienverbilligung,26 – 30,26,30,beneficiaries_count,176918.0,Anzahl,count,
2019,praemienverbilligung,26 – 30,26,30,beneficiary_rate,0.308,Anteil,rate,
2019,praemienverbilligung,26 – 30,26,30,total_mio_chf,408.944,CHF,mio_chf,
2019,praemienverbilligung,31 – 35,31,35,beneficiaries_count,157580.0,Anzahl,count,
2019,praemienverbilligung,31 – 35,31,35,beneficiary_rate,0.258,Anteil,rate,
2019,praemienverbilligung,31 – 35,31,35,total_mio_chf,344.83,CHF,mio_chf,
2019,praemienverbilligung,36 – 40,36,40,beneficiaries_count,159769.0,Anzahl,count,
2019,praemienverbilligung,36 – 40,36,40,beneficiary_rate,0.261,Anteil,rate,
2019,praemienverbilligung,36 – 40,36,40,total_mio_chf,340.6,CHF,mio_chf,
2019,praemienverbilligung,41 – 45,41,45,beneficiaries_count,140493.0,Anzahl,count,
2019,praemienverbilligung,41 – 45,41,45,beneficiary_rate,0.24,Anteil,rate,
2019,praemienverbilligung,41 – 45,41,45,total_mio_chf,309.243,CHF,mio_chf,
2019,praemienverbilligung,46 – 50,46,50,beneficiaries_count,127757.0,Anzahl,count,
2019,praemienverbilligung,46 – 50,46,50,beneficiary_rate,0.206,Anteil,rate,
2019,praemienverbilligung,46 – 50,46,50,total_mio_chf,302.085,CHF,mio_chf,
2019,praemienverbilligung,51 – 55,51,55,beneficiaries_count,119677.0,Anzahl,count,
2019,praemienverbilligung,51 – 55,51,55,beneficiary_rate,0.179,Anteil,rate,
2019,praemienverbilligung,51 – 55,51,55,total_mio_chf,315.694,CHF,mio_chf,
2019,praemienverbilligung,56 – 60,56,60,beneficiaries_count,101291.0,Anzahl,count,
2019,praemienverbilligung,56 – 60,56,60,beneficiary_rate,0.167,Anteil,rate,
2019,praemienverbilligung,56 – 60,56,60,total_mio_chf,300.008,CHF,mio_chf,
2019,praemienverbilligung,61 – 65,61,65,beneficiaries_count,88006.0,Anzahl,count,
2019,praemienverbilligung,61 – 65,61,65,beneficiary_rate,0.177,Anteil,rate,
2019,praemienverbilligung,61 – 65,61,65,total_mio_chf,286.902,CHF,mio_chf,
2019,praemienverbilligung,66 – 70,66,70,beneficiaries_count,78944.0,Anzahl,count,
2019,praemienverbilligung,66 – 70,66,70,beneficiary_rate,0.187,Anteil,rate,
2019,praemienverbilligung,66 – 70,66,70,total_mio_chf,280.406,CHF,mio_chf,
2019,praemienverbilligung,71 – 75,71,75,beneficiaries_count,72831.0,Anzahl,count,
2019,praemienverbilligung,71 – 75,71,75,beneficiary_rate,0.186,Anteil,rate,
2019,praemienverbilligung,71 – 75,71,75,total_mio_chf,256.815,CHF,mio_chf,
2019,praemienverbilligung,76 – 80,76,80,beneficiaries_count,63752.0,Anzahl,count,
2019,praemienverbilligung,76 – 80,76,80,beneficiary_rate,0.213,Anteil,rate,
2019,praemienverbilligung,76 – 80,76,80,total_mio_chf,225.159,CHF,mio_chf,
2019,praemienverbilligung,81 – 85,81,85,beneficiaries_count,56066.0,Anzahl,count,
2019,praemienverbilligung,81 – 85,81,85,beneficiary_rate,0.263,Anteil,rate,
2019,praemienverbilligung,81 – 85,81,85,total_mio_chf,201.784,CHF,mio_chf,
